epoch,accuracy,loss,val_accuracy,val_loss
0,0.02222222276031971,3.3024590015411377,0.07999999821186066,3.2796642780303955
1,0.03999999910593033,3.2216506004333496,NA,NA
2,0.035555556416511536,3.219801902770996,NA,NA
3,0.04888888821005821,3.2183420658111572,NA,NA
4,0.035555556416511536,3.2164103984832764,NA,NA
5,0.035555556416511536,3.2323412895202637,NA,NA
6,0.04444444552063942,3.2248146533966064,NA,NA
7,0.017777778208255768,3.2237069606781006,NA,NA
8,0.035555556416511536,3.219250440597534,NA,NA
9,0.04444444552063942,3.220445394515991,NA,NA
10,0.031111111864447594,3.2135281562805176,NA,NA
11,0.031111111864447594,3.2297637462615967,NA,NA
12,0.0533333346247673,3.2178072929382324,NA,NA
13,0.0533333346247673,3.221792459487915,NA,NA
14,0.03999999910593033,3.2185869216918945,NA,NA
15,0.04888888821005821,3.222644805908203,NA,NA
16,0.013333333656191826,3.2253968715667725,NA,NA
17,0.035555556416511536,3.216860294342041,NA,NA
18,0.04444444552063942,3.2517168521881104,NA,NA
19,0.03999999910593033,3.259746551513672,NA,NA
20,0.02666666731238365,3.2432687282562256,NA,NA
21,0.04444444552063942,3.2376275062561035,NA,NA
22,0.04888888821005821,3.2601118087768555,NA,NA
23,0.04444444552063942,3.265336751937866,NA,NA
24,0.04444444552063942,3.2599401473999023,NA,NA
0,0.017777778208255768,3.284926652908325,0.03999999910593033,3.23956298828125
1,0.02666666731238365,3.220675468444824,NA,NA
2,0.031111111864447594,3.2194595336914062,NA,NA
3,0.03999999910593033,3.2247281074523926,NA,NA
4,0.03999999910593033,3.2197537422180176,NA,NA
5,0.04888888821005821,3.2284467220306396,NA,NA
6,0.02222222276031971,3.2212681770324707,NA,NA
7,0.057777777314186096,3.2190470695495605,NA,NA
8,0.04444444552063942,3.2195043563842773,NA,NA
9,0.03999999910593033,3.2220840454101562,NA,NA
10,0.0533333346247673,3.219944477081299,NA,NA
11,0.03999999910593033,3.218764066696167,NA,NA
12,0.04444444552063942,3.2187752723693848,NA,NA
13,0.035555556416511536,3.2207107543945312,NA,NA
14,0.04444444552063942,3.2255804538726807,NA,NA
15,0.03999999910593033,3.219498634338379,NA,NA
16,0.057777777314186096,3.2200803756713867,NA,NA
17,0.035555556416511536,3.219298839569092,NA,NA
18,0.031111111864447594,3.2196619510650635,NA,NA
19,0.04888888821005821,3.2244880199432373,NA,NA
20,0.02666666731238365,3.223280906677246,NA,NA
21,0.0533333346247673,3.2278919219970703,NA,NA
